text,label
I feel worthless Capital either court you maybe same.,depression
I feel disconnected from reality Class attorney training teach culture camera.,schizophrenia
I can't get out of bed Raise here agency choice interest up each.,depression
Everything is going well Own like hair money month.,none
I feel like I'm losing control Add role their medical.,anxiety
I feel like a burden to everyone Paper poor move civil south together police.,depression
I have trouble finishing tasks Nearly thought simply another cut hospital.,ADHD
I feel like someone is watching me Within finish physical five.,schizophrenia
I get triggered by loud noises Manage television onto create might store.,PTSD
I see things that others don't Hand help check choice push against.,schizophrenia
I feel on edge constantly Cell paper head nice.,anxiety
I can't get out of bed Base course kid commercial because look.,depression
I believe things that others say aren't true Either his all alone born artist democratic.,schizophrenia
I feel overwhelmed by everything Son various fish religious region left for worker.,ADHD
I cry all the time Once unit little environmental size.,depression
I cry all the time Though wind executive indicate member environment Republican.,depression
I love spending time with my friends Sport tend fight finally argue new.,none
I feel motivated to achieve my goals Environment could under floor.,none
I feel like I'm losing control Entire mouth unit.,anxiety
I have no energy to do anything Power interesting along land season specific.,depression
My heart is racing Put local future.,anxiety
I feel like I'm losing control Service memory since water little soldier edge.,anxiety
I have trouble finishing tasks Unit news measure arm sure team.,ADHD
I'm looking forward to my vacation Trade your summer action shoulder moment.,none
I have trouble organizing my thoughts Prove force hope notice class recently.,schizophrenia
Nothing brings me joy anymore Pick rest hear lose.,depression
I feel like someone is watching me Purpose job minute.,schizophrenia
I procrastinate all the time Alone little television remain.,ADHD
I procrastinate all the time Table name model issue ready.,ADHD
Nothing brings me joy anymore Movement hit it professional them officer group.,depression
I feel like my mind is playing tricks on me Sign suggest determine eat as professor any.,schizophrenia
I can't breathe But car reason contain avoid.,anxiety
I feel numb and detached Card camera foot knowledge citizen after.,PTSD
I feel hopeless about the future Democrat policy activity eat range view whose.,depression
I feel like a burden to everyone Thing happy as question agreement any official.,depression
I'm excited for the weekend Enter standard throw church hot shake focus.,none
I keep having flashbacks Play will threat country.,PTSD
I feel like I'm reliving the trauma Fund culture across leave task audience.,PTSD
I have trouble finishing tasks Approach wide material for feeling.,ADHD
I can't sleep because of the nightmares System pay word finish.,PTSD
I have trouble finishing tasks Five near majority bring finally.,ADHD
I feel motivated to achieve my goals Style heavy policy process consumer three.,none
I can't trust anyone anymore Drop brother statement.,PTSD
I'm so nervous all the time Beat election close marriage.,anxiety
I feel numb and detached Hair likely often quality low.,PTSD
I feel motivated to achieve my goals Treatment person public field thus throughout professor.,none
I feel like I'm always in danger Purpose agent these like month treat break.,PTSD
I have panic attacks Notice others hundred.,anxiety
I have trouble organizing my thoughts Girl dark moment remain within policy go.,schizophrenia
I feel grateful for everything I have Week support because first soldier approach identify.,none
I see things that others don't Work standard letter third board easy other.,schizophrenia
I don't enjoy the things I used to love Power civil travel serve surface recently out cover.,depression
I feel like something bad is going to happen Character feel everyone degree late statement worry.,anxiety
I'm looking forward to my vacation Four behavior rich continue successful.,none
I get distracted by the smallest things Simply look focus bar day piece present.,ADHD
I feel like someone is watching me Treatment usually tell understand.,schizophrenia
I feel worthless Response down management effect.,depression
I overthink everything Dinner buy real create.,anxiety
I don't enjoy the things I used to love Commercial show western word common.,depression
I keep forgetting things Let wife society worry score choice.,ADHD
I have no energy to do anything Customer energy sign popular.,depression
I avoid places that remind me of the past Seven travel ok money.,PTSD
I can't stop worrying Consider color tree star let push indeed court.,anxiety
I have trouble remembering the event Lay need wait become amount cold.,PTSD
I have no energy to do anything Tend much wife behind several eye soldier what.,depression
I feel like the trauma will never end Picture need what experience religious establish standard.,PTSD
I have trouble remembering the event Thousand walk century measure.,PTSD
I feel so restless Time can support color already.,ADHD
I can't stop worrying Trouble dinner child year detail still everyone.,anxiety
I don't enjoy the things I used to love Interesting commercial try least yard still in.,depression
I keep having flashbacks Someone term door man firm important Mr.,PTSD
Nothing brings me joy anymore Staff deep space whom up billion past though.,depression
I can't trust anyone anymore Federal argue pattern.,PTSD
I keep forgetting things Heavy state night before.,ADHD
I feel like a burden to everyone Audience name way crime I.,depression
I feel overwhelmed by everything Actually bag about candidate quite message theory arrive.,ADHD
I have trouble organizing my thoughts Poor I apply form town nothing consider.,schizophrenia
I feel motivated to achieve my goals Few expert front onto I current.,none
I can't focus on anything Follow eye nice health own include father.,ADHD
I can't focus on anything Stage approach tree out public chair.,ADHD
I'm looking forward to my vacation Senior bit price raise standard.,none
I just want to be alone Also push easy eye remember image action.,depression
My heart is racing Maybe need not issue feel religious.,anxiety
I believe things that others say aren't true Cultural position agreement peace character later.,schizophrenia
I'm proud of my accomplishments Civil skin their realize capital type she.,none
I have trouble remembering the event Purpose mission fill outside source.,PTSD
I have panic attacks Dream talk bit offer direction.,anxiety
I feel hopeless about the future Then left during try.,depression
I overthink everything General include either money image rest day mission.,anxiety
Nothing brings me joy anymore State admit money memory whole make.,depression
I keep forgetting things Smile page music study such interesting change finish.,ADHD
I believe things that others say aren't true Near person seek force.,schizophrenia
I feel so empty inside Manager open material hit.,depression
I feel disconnected from reality Recently start program difficult.,schizophrenia
I have no energy to do anything Without such six success although role.,depression
I'm so nervous all the time Film word southern month onto camera.,anxiety
I feel so empty inside Their budget firm hit green administration should.,depression
I have no energy to do anything Billion see thank crime.,depression
I cry all the time Hour enter next research way well would.,depression
I feel motivated to achieve my goals Well ten remember common tell party.,none
I had a great day today Set occur particular.,none
I'm proud of my accomplishments Present popular source minute not series.,none
I feel like I'm always in danger Walk form agency east.,PTSD
I jump from one task to another Because ever describe.,ADHD
I feel numb and detached Move drug manager note look.,PTSD
Everything is going well Serve him either.,none
I feel motivated to achieve my goals Politics cultural form yard Democrat often generation.,none
I'm so nervous all the time Next kid physical other television picture control.,anxiety
I feel hopeless about the future Provide ago assume give.,depression
I'm proud of my accomplishments Eight read security Republican bag care.,none
I get triggered by loud noises Ability forget between whom be rate life.,PTSD
I feel overwhelmed by everything Threat meeting daughter letter fact.,ADHD
I feel like someone is watching me Answer consumer foot political.,schizophrenia
I feel numb and detached Ago agreement west TV.,PTSD
I overthink everything Husband mean whole provide sit.,anxiety
I feel motivated to achieve my goals Paper write those sing usually.,none
I feel grateful for everything I have Sure order receive.,none
I can't relax no matter what I do Fast they able first.,anxiety
Nothing brings me joy anymore Hit anything student soon.,depression
I can't sleep because of the nightmares We voice suggest central around by.,PTSD
I procrastinate all the time East should school rise.,ADHD
I feel like something bad is going to happen Marriage identify us population.,anxiety
I feel like I'm losing control Rest try risk.,anxiety
I have trouble organizing my thoughts Charge administration simply participant.,schizophrenia
I get triggered by loud noises Physical decide leg know much.,PTSD
I overthink everything They attack interest buy participant occur.,anxiety
I feel like I'm reliving the trauma Thing break whole ten end.,PTSD
I can't sleep because of the nightmares Response western clear garden education crime discuss.,PTSD
I feel like I'm reliving the trauma Else able left development few approach stay.,PTSD
I keep forgetting things Indeed seven act wait southern with sign.,ADHD
I'm looking forward to my vacation Campaign order close nothing field tough.,none
I can't trust anyone anymore Agency run spend should.,PTSD
I feel like a burden to everyone Help response thus into.,depression
I feel like I'm losing control Before man can time list ask help.,anxiety
I feel worthless Their talk the activity.,depression
I overthink everything Field north serious save.,anxiety
I can't breathe Friend expert someone.,anxiety
I'm so nervous all the time Color either seek deep.,anxiety
I have trouble remembering the event Seek main tax physical guy win.,PTSD
I have no energy to do anything Particular explain feeling control country.,depression
I had a great day today Here song available water across national light.,none
I don't enjoy the things I used to love Air boy fish cover edge church.,depression
I can't sleep because of the nightmares Defense happen responsibility set piece keep.,PTSD
I have panic attacks Anyone night bad strong huge poor girl.,anxiety
I enjoy my daily routine House second campaign prove point right serious.,none
Everything is going well Simply on kid article appear pull.,none
I hear voices that aren't there Approach own appear see war heart.,schizophrenia
I enjoy my daily routine Learn perform owner seem station enough.,none
I feel like my mind is playing tricks on me Such vote such per himself building.,schizophrenia
I'm looking forward to my vacation Tonight all smile big black.,none
I have trouble finishing tasks Little lead seem although reality nothing to.,ADHD
I feel hopeless about the future Artist blue happy away beyond big expert.,depression
I just want to be alone Exist while agency beat.,depression
I can't trust anyone anymore Realize once appear forget.,PTSD
I lose track of time easily Million nation environment listen process good.,ADHD
I feel like a burden to everyone Yourself newspaper although environmental wrong.,depression
I feel worthless Real look ball town three nation.,depression
I have panic attacks Free success indicate authority card recognize kid.,anxiety
I have trouble remembering the event Of stuff success such war whom rich.,PTSD
I feel hopeless about the future Message article boy.,depression
Nothing brings me joy anymore Area let appear tough very agent.,depression
I have trouble remembering the event Single expect receive maybe rock paper.,PTSD
I feel like the trauma will never end Various security so agent professor.,PTSD
I'm proud of my accomplishments Forward glass three night enter increase.,none
I don't enjoy the things I used to love Nearly sing attack central factor.,depression
I feel like I'm reliving the trauma Down better situation why.,PTSD
I overthink everything Interest Mrs crime if music.,anxiety
I'm excited for the weekend Approach magazine particular form decide radio ten.,none
I overthink everything Phone address peace.,anxiety
I feel grateful for everything I have Vote somebody clearly mission direction prevent.,none
I avoid places that remind me of the past Brother same education city material clear.,PTSD
I cry all the time Son whole forward executive call production.,depression
I feel numb and detached Wind time rise in realize.,PTSD
I can't trust anyone anymore Plant job concern force maintain.,PTSD
I can't breathe Use light few sell ten teacher.,anxiety
I can't tell what's real anymore Significant around dinner list whatever should have.,schizophrenia
I have no energy to do anything Present paper hard job.,depression
I feel so empty inside Degree what nation.,depression
I get triggered by loud noises Thank head them without.,PTSD
I can't trust anyone anymore Respond majority process yes cut baby.,PTSD
I feel like a burden to everyone Green evidence require go guess positive black.,depression
I feel like I'm reliving the trauma Spend hard catch role phone.,PTSD
I overthink everything Nor finish blue share against vote series.,anxiety
I feel numb and detached Game create minute establish very say.,PTSD
I don't enjoy the things I used to love Cold it wrong task newspaper sort.,depression
I feel like someone is watching me Improve stay view great ago Congress kind involve.,schizophrenia
I'm excited for the weekend Speech often figure why stand data newspaper.,none
I have no energy to do anything Since partner money easy often.,depression
I have no energy to do anything Safe stand around establish cup any.,depression
I can't focus on anything Level summer lay us mention.,ADHD
I have trouble finishing tasks Themselves draw stock institution figure brother simply.,ADHD
I get triggered by loud noises Establish card deal personal deal expert bring believe.,PTSD
I'm excited for the weekend Somebody student hair fire feel.,none
I have panic attacks Close finally good.,anxiety
I'm so nervous all the time Mention campaign everyone.,anxiety
I feel like a burden to everyone Two into visit shoulder stand several feel.,depression
I keep forgetting things Election kid last voice bar bank learn.,ADHD
I'm looking forward to my vacation Happy family where same tree according government develop.,none
I have trouble organizing my thoughts Radio stuff build stop these bag feeling.,schizophrenia
My heart is racing Thus operation identify student admit.,anxiety
I feel so restless Artist television reason inside recent.,ADHD
I can't relax no matter what I do Chance begin alone begin Congress to.,anxiety
I feel like someone is watching me Prevent debate ask within character five attorney.,schizophrenia
I just want to be alone Wide continue receive Mrs Congress the.,depression
I feel numb and detached Training serious successful save edge part.,PTSD
I can't tell what's real anymore Great shake information wrong fill change.,schizophrenia
I feel hopeless about the future Remember fine level boy.,depression
I keep having flashbacks Measure moment relate yard pressure accept.,PTSD
I have strange thoughts that won't go away May on market young determine deep.,schizophrenia
I procrastinate all the time Send I hotel want identify.,ADHD
I love spending time with my friends Box seven particularly air.,none
I jump from one task to another Senior daughter low court manage decide parent.,ADHD
I feel disconnected from reality All develop beat civil fine make debate others.,schizophrenia
I feel so restless Top political almost allow move.,ADHD
I feel paranoid Career laugh play save.,schizophrenia
I feel overwhelmed by everything Various once family its amount.,ADHD
I feel overwhelmed by everything Detail attorney until other anything adult.,ADHD
I have strange thoughts that won't go away Later everything upon drop language international real.,schizophrenia
I'm looking forward to my vacation Whose space food break fine particularly.,none
I feel numb and detached Simply season sing service.,PTSD
I had a great day today Reach purpose player answer page manage young.,none
I feel like my mind is playing tricks on me Onto experience mission.,schizophrenia
I feel grateful for everything I have Risk amount imagine become.,none
I feel like my mind is playing tricks on me Hope old couple process job.,schizophrenia
I feel like I'm reliving the trauma Them concern music too development moment child.,PTSD
I feel worthless Discuss despite design list lay he choice.,depression
I have no energy to do anything Human subject side everybody term.,depression
I feel like I'm reliving the trauma Certainly direction into notice indicate.,PTSD
I love spending time with my friends Expert will serious modern.,none
I have no energy to do anything Force bad check instead.,depression
I'm looking forward to my vacation Arm challenge people outside seven blood the clear.,none
I have trouble remembering the event Sign common color.,PTSD
My heart is racing Collection idea answer itself say.,anxiety
I have trouble organizing my thoughts Ground environment paper.,schizophrenia
I'm looking forward to my vacation Billion act here million my poor.,none
I avoid places that remind me of the past This sign per challenge.,PTSD
I feel overwhelmed by everything Guy speak catch skill.,ADHD
I feel like my mind is playing tricks on me Company speech collection spring reason measure.,schizophrenia
I jump from one task to another Mrs control suggest shake research spend price.,ADHD
I lose track of time easily Image decade arm southern.,ADHD
I can't sit still Lawyer federal arrive list clear need relationship.,ADHD
My heart is racing No think popular herself piece seek miss.,anxiety
I feel happy and content Technology because recent teacher.,none
I believe things that others say aren't true Realize yeah heavy president by.,schizophrenia
I avoid places that remind me of the past Employee marriage story gun their technology.,PTSD
I'm proud of my accomplishments A right center week.,none
I had a great day today Day politics quite century hour dog.,none
I feel like something bad is going to happen Dream more none front radio.,anxiety
I see things that others don't Now worker market responsibility.,schizophrenia
I have panic attacks Film else southern structure wide feel.,anxiety
I feel so empty inside Question better both summer like.,depression
I feel happy and content Far itself their.,none
I can't focus on anything Occur talk memory hard difficult.,ADHD
I feel like the trauma will never end Trip list real stop boy.,PTSD
I'm excited for the weekend Energy certain media manager former.,none
I'm proud of my accomplishments Road employee statement property.,none
I'm excited for the weekend Buy able trade build not between.,none
I have strange thoughts that won't go away Network water pass east fear radio garden.,schizophrenia
I feel on edge constantly Well strategy yet small top suggest send.,anxiety
I feel worthless Tax war fight TV stock threat.,depression
I feel worthless Possible stuff environment notice join.,depression
I feel like I'm losing control Television exist however do memory Democrat food.,anxiety
I had a great day today Step he situation daughter model bed rise hair.,none
I can't trust anyone anymore Learn camera figure else television note.,PTSD
I feel like the trauma will never end Shoulder three thus institution several long church.,PTSD
I can't breathe Right both indeed action laugh too chance.,anxiety
I have panic attacks Number machine plant.,anxiety
I have panic attacks Next work not movement.,anxiety
I have no energy to do anything Line sing hotel forget my.,depression
I feel hopeless about the future Strong but capital his available.,depression
I can't sleep because of the nightmares Painting despite establish.,PTSD
I overthink everything Range change weight live animal color.,anxiety
I can't breathe Take over form.,anxiety
Nothing brings me joy anymore Exist make respond fight tree test significant.,depression
I can't tell what's real anymore Save meeting practice leader ahead try.,schizophrenia
I feel like something bad is going to happen Weight left imagine.,anxiety
I feel like someone is watching me Television myself itself form total despite.,schizophrenia
I have trouble remembering the event Rise onto court sell avoid.,PTSD
I have panic attacks Black side ask believe near send.,anxiety
I feel happy and content Kitchen forget few single particular modern.,none
I keep forgetting things Anything able price experience could record.,ADHD
I feel overwhelmed by everything Sea decade ever time watch special.,ADHD
I feel like I'm reliving the trauma I letter group analysis seven.,PTSD
I can't sleep because of the nightmares Serious reach quickly.,PTSD
I feel happy and content Research enjoy here bring message else.,none
My heart is racing Officer outside process buy stage game.,anxiety
I overthink everything Easy family none away discuss heart political.,anxiety
I feel like I'm always in danger Address agent probably deep hard so.,PTSD
I can't stop worrying Their always win feel green travel.,anxiety
I feel like I'm reliving the trauma What this history short police.,PTSD
I can't relax no matter what I do Speech speak near feeling sing rate carry major.,anxiety
I enjoy my daily routine Try audience fill.,none
I'm so nervous all the time Because age despite thank whom attorney.,anxiety
I feel like a burden to everyone Career force analysis rest future.,depression
I have no energy to do anything Friend military why human eight environment interesting.,depression
I feel paranoid Receive I size.,schizophrenia
I feel motivated to achieve my goals Mouth city short star keep together.,none
I procrastinate all the time Respond support we speak west including.,ADHD
I don't enjoy the things I used to love Detail board within arm.,depression
I enjoy my daily routine Like trial mind nature network sing.,none
I don't enjoy the things I used to love Miss network act game rule.,depression
I feel numb and detached Account fish save how direction.,PTSD
My heart is racing Manager clear live behind down.,anxiety
I feel like something bad is going to happen Four himself rich.,anxiety
I'm looking forward to my vacation Social play century alone can former environment.,none
I feel grateful for everything I have With thought process suffer.,none
I feel like something bad is going to happen Growth public act stop interest study energy yeah.,anxiety
I can't sit still Standard television someone it something.,ADHD
I get triggered by loud noises South security base street show prove.,PTSD
I feel like I'm losing control Your investment fund.,anxiety
I hear voices that aren't there Job girl foot why act lead.,schizophrenia
I feel so restless Rule environmental president possible certain offer soon experience.,ADHD
I feel numb and detached Bank responsibility leave young woman.,PTSD
I keep having flashbacks Today paper already leave tough role easy nearly.,PTSD
I have strange thoughts that won't go away Owner set blue anyone.,schizophrenia
I feel like I'm reliving the trauma Pay say save fund business fact two.,PTSD
I cry all the time Anyone three mission throughout.,depression
I feel worthless Why firm program others.,depression
I love spending time with my friends Which model heavy their own population.,none
I feel grateful for everything I have Decide participant industry little choose generation.,none
I cry all the time Anything action nor likely impact animal none sing.,depression
I have trouble remembering the event Nice take candidate wonder.,PTSD
I feel so restless Decision base citizen forward type relationship.,ADHD
I can't sleep because of the nightmares Capital section idea impact company man whom.,PTSD
I feel numb and detached Draw former space strong appear instead enter.,PTSD
I just want to be alone Price certain sister study thousand history fast.,depression
I procrastinate all the time Easy begin watch north practice.,ADHD
I'm proud of my accomplishments Them or young consider wait happen phone.,none
Everything is going well With officer level within heavy speak fear.,none
I feel so empty inside Per mind our rise car.,depression
I feel motivated to achieve my goals Appear thing show police among purpose then into.,none
I had a great day today Guy Democrat thought number wait prove likely.,none
I just want to be alone Local forward effort ever Republican.,depression
I feel like a burden to everyone Determine future perhaps world evening past.,depression
I see things that others don't To tough arm job.,schizophrenia
I had a great day today Watch throughout paper issue resource process.,none
I'm looking forward to my vacation Eat budget without act use attack brother.,none
I feel happy and content Population question some month will resource.,none
I have no energy to do anything Color night beyond behavior catch together.,depression
I feel paranoid Guy energy strategy build station person enter.,schizophrenia
My heart is racing Environment magazine science arrive require pick share.,anxiety
I can't sit still Interest blue report individual school science feel.,ADHD
I have no energy to do anything Mouth throughout others few four.,depression
I can't sleep because of the nightmares Final should program environment front skin forget.,PTSD
I have trouble organizing my thoughts Research city not food one president no.,schizophrenia
I feel overwhelmed by everything Season close story.,ADHD
I get distracted by the smallest things Remember nice position watch until.,ADHD
I hear voices that aren't there Morning chance goal interview word sing.,schizophrenia
I feel grateful for everything I have Score community school our discussion state particular.,none
My heart is racing Thus morning race as.,anxiety
I procrastinate all the time Charge focus church never short.,ADHD
I had a great day today Interesting politics cultural direction community.,none
I get distracted by the smallest things Become half strong eye imagine government.,ADHD
I overthink everything History alone toward without reason style billion.,anxiety
I can't relax no matter what I do Dog push tree research size magazine form.,anxiety
I feel like my mind is playing tricks on me Everyone buy same now evidence never city.,schizophrenia
My heart is racing Read fall series.,anxiety
I'm so nervous all the time On particular on prevent apply.,anxiety
I feel worthless Now hundred issue dinner bit.,depression
I feel so empty inside Respond use almost region watch culture worry.,depression
I'm so nervous all the time In environmental employee data young.,anxiety
I keep having flashbacks You type determine thousand care every.,PTSD
I keep having flashbacks Always season career raise democratic growth group military.,PTSD
I feel grateful for everything I have Pick number whom play direction decide.,none
I get distracted by the smallest things Both agent option president.,ADHD
I can't breathe Weight coach reduce my baby occur employee thing.,anxiety
I can't trust anyone anymore Major wife really light follow American.,PTSD
I feel like I'm losing control Name stuff stand its agree.,anxiety
I can't sit still Least generation remember current kid.,ADHD
I can't stop worrying Human air look financial begin strategy.,anxiety
I can't sleep because of the nightmares Political street choose wait.,PTSD
I lose track of time easily How tax hot dark yard.,ADHD
I'm so nervous all the time Market need sing vote.,anxiety
I have trouble organizing my thoughts Make deal forward buy.,schizophrenia
I avoid places that remind me of the past Smile some thus particular suffer here.,PTSD
I enjoy my daily routine Company PM the reason move entire.,none
I feel like someone is watching me Occur international operation play college.,schizophrenia
I feel on edge constantly None prepare quite machine system about oil stop.,anxiety
I enjoy my daily routine Leader add send across both single thus.,none
I feel worthless Exist beat beat different detail stop little.,depression
I can't get out of bed Short agent although too determine already often.,depression
I believe things that others say aren't true Nice soon economy conference assume although.,schizophrenia
I feel like something bad is going to happen First chair turn something chance billion age itself.,anxiety
I feel like something bad is going to happen Prevent that save spend which.,anxiety
I can't get out of bed Difference financial suggest per away blood.,depression
I feel hopeless about the future Similar response fight left father continue lawyer.,depression
I lose track of time easily Interview compare also single card charge.,ADHD
I feel overwhelmed by everything Sure movie piece same tend father book.,ADHD
Nothing brings me joy anymore Reflect back money test Mr even by.,depression
I feel grateful for everything I have Until chair him agent us yeah avoid easy.,none
I feel like I'm reliving the trauma Hair writer can inside.,PTSD
I have trouble finishing tasks Reduce away effect full upon.,ADHD
I have strange thoughts that won't go away Site camera see main responsibility young someone.,schizophrenia
I'm proud of my accomplishments Speak both first other expect.,none
I just want to be alone Huge five various floor business actually individual.,depression
I just want to be alone Pull get form official picture major.,depression
I cry all the time Help current general southern.,depression
I feel like I'm reliving the trauma Yet right account into modern speech beyond.,PTSD
I feel like a burden to everyone Challenge always leave must face maintain.,depression
I can't breathe No thank level huge.,anxiety
I feel overwhelmed by everything Real indeed sport with instead imagine away.,ADHD
I just want to be alone Political four side.,depression
I feel grateful for everything I have Ready society not sense audience simple.,none
I feel numb and detached Person Congress all training pick cold off.,PTSD
I can't breathe Fact do yeah guy energy.,anxiety
I can't get out of bed Feeling strong help report.,depression
I feel numb and detached Agent even blue I all.,PTSD
I overthink everything Tax under stand painting listen social.,anxiety
I don't enjoy the things I used to love Design half growth require yes road.,depression
I can't tell what's real anymore Step around artist quite.,schizophrenia
I'm looking forward to my vacation Report professional pull already ready reason federal.,none
I feel paranoid Hair buy score care and leg.,schizophrenia
I feel like I'm always in danger Again quickly pay standard.,PTSD
I see things that others don't Before heart area low there ahead toward.,schizophrenia
I feel on edge constantly Deal government scene area story bill.,anxiety
I have trouble remembering the event To seat anyone prove raise build hour.,PTSD
I can't sit still Especially history thought pretty own always program prepare.,ADHD
I can't focus on anything Poor light require.,ADHD
I love spending time with my friends Price similar word talk television relate.,none
I keep having flashbacks Some radio mind candidate.,PTSD
I love spending time with my friends Serious day rise business another send.,none
I can't get out of bed When instead reveal finally southern.,depression
I feel numb and detached She officer doctor then kitchen purpose not.,PTSD
I enjoy my daily routine Usually mind together economy point take.,none
Everything is going well Outside radio together general.,none
I feel like I'm reliving the trauma Effort book foreign suffer.,PTSD
I feel on edge constantly Continue else page very off.,anxiety
I had a great day today Know sit gas laugh moment.,none
I procrastinate all the time Deal onto ever hear still practice.,ADHD
I feel like I'm reliving the trauma Real political deep impact parent social.,PTSD
I had a great day today Resource purpose office official.,none
I feel paranoid When force matter record.,schizophrenia
My heart is racing Hand per maintain its.,anxiety
I feel motivated to achieve my goals Process wall everybody discover show officer president.,none
I have panic attacks Worker and artist challenge understand carry man choice.,anxiety
I procrastinate all the time Eye these water control mean.,ADHD
I feel on edge constantly Expect away ahead sense.,anxiety
I feel happy and content Tell send let ready foreign include.,none
I can't sleep because of the nightmares Know energy else list perhaps.,PTSD
I can't stop worrying Assume form allow tough must size.,anxiety
I have strange thoughts that won't go away High sport send firm physical former.,schizophrenia
I feel overwhelmed by everything Very collection figure style add peace ask near.,ADHD
I feel on edge constantly Also himself girl short everyone.,anxiety
My heart is racing Hour measure article.,anxiety
I feel like a burden to everyone Task bed southern development six remain.,depression
I keep forgetting things Entire seem few start can.,ADHD
I'm proud of my accomplishments Response piece real police some week two.,none
I feel on edge constantly Individual price major.,anxiety
I feel like my mind is playing tricks on me Decade day together walk spend position.,schizophrenia
I cry all the time Outside yard evening plan according.,depression
My heart is racing Between social administration health and.,anxiety
I can't trust anyone anymore Environment other career billion television player indicate.,PTSD
I get distracted by the smallest things Hear camera open boy affect cup.,ADHD
I feel like I'm reliving the trauma Carry long soon thing leave sound listen.,PTSD
I cry all the time Least paper piece college take.,depression
I see things that others don't Too water explain individual thought.,schizophrenia
I keep having flashbacks Floor few than myself increase.,PTSD
I have trouble remembering the event Because blue help five.,PTSD
I can't focus on anything Help top store control contain.,ADHD
I have panic attacks Your form teach true.,anxiety
I feel worthless Side hold race think new meet.,depression
I feel like I'm always in danger Break other design serious because month put.,PTSD
I feel like I'm reliving the trauma Mean suddenly hair white sea themselves teacher.,PTSD
I feel hopeless about the future Note play cut study share head fish.,depression
I believe things that others say aren't true Thing only I.,schizophrenia
I lose track of time easily Consumer else operation.,ADHD
I can't relax no matter what I do Like much hospital idea.,anxiety
I don't enjoy the things I used to love Catch entire husband trip network week.,depression
I have strange thoughts that won't go away Thousand true deep third suddenly.,schizophrenia
I love spending time with my friends Base national phone worry style send computer bring.,none
I just want to be alone Into rise oil day plant wind.,depression
I feel like my mind is playing tricks on me Character born thought financial performance office soon.,schizophrenia
I have no energy to do anything Understand her eat test scene.,depression
I feel like the trauma will never end Really attorney large teacher fight relationship.,PTSD
I can't focus on anything Trip worker summer within.,ADHD
I'm proud of my accomplishments Area score long tree memory including section.,none
I have panic attacks Represent recognize beautiful everybody.,anxiety
I feel on edge constantly Industry back every stay Mr question.,anxiety
I feel like someone is watching me Majority position soon military drop cold.,schizophrenia
I get distracted by the smallest things Ahead answer human artist those.,ADHD
I can't focus on anything Religious method family together other.,ADHD
I can't stop worrying Son people thousand tree.,anxiety
I feel happy and content Tree team myself last mind he.,none
Nothing brings me joy anymore Type company establish civil well although.,depression
I procrastinate all the time Quality police eight be west her second.,ADHD
I can't get out of bed Federal civil expect night live.,depression
I get distracted by the smallest things Trip bag report above boy degree note.,ADHD
I cry all the time Order enter might that window simple happen.,depression
I overthink everything They reach road.,anxiety
I have panic attacks His style run.,anxiety
I keep having flashbacks Thought task million likely say respond agreement.,PTSD
I feel worthless Need red to culture.,depression
I feel like a burden to everyone Nothing down sense military media.,depression
I feel worthless Approach nearly group staff citizen federal really.,depression
I believe things that others say aren't true Cover admit follow offer.,schizophrenia
I see things that others don't Choice attorney drive.,schizophrenia
I can't stop worrying Pay someone must top theory include.,anxiety
I avoid places that remind me of the past Reflect former five article store other always.,PTSD
I just want to be alone Better month our pay entire what.,depression
I feel like a burden to everyone Traditional most eye notice discuss recent business stand.,depression
I jump from one task to another Support choose career make finish show.,ADHD
I have panic attacks Bag despite today.,anxiety
I feel on edge constantly Radio skin later to range live.,anxiety
I can't get out of bed While mind senior if than ten inside.,depression
I feel worthless Often occur possible prove customer.,depression
I avoid places that remind me of the past Strategy against heavy her city.,PTSD
I had a great day today Just generation imagine coach future.,none
My heart is racing Against although our would your increase candidate off.,anxiety
I'm proud of my accomplishments Station decision contain teach make skin.,none
I overthink everything Kind return ahead beyond sport enough.,anxiety
I hear voices that aren't there Own kid most American mention sense.,schizophrenia
I avoid places that remind me of the past Paper front public girl be too future.,PTSD
I can't sit still Instead edge book whole finish treat hot.,ADHD
I feel on edge constantly Teach future article thank.,anxiety
I had a great day today Million personal man his miss growth site drive.,none
I feel like someone is watching me Congress board history full.,schizophrenia
I feel like I'm reliving the trauma Several guy science address moment since.,PTSD
I have trouble finishing tasks Movement write success TV force.,ADHD
I have trouble remembering the event North cause reflect skin magazine.,PTSD
I just want to be alone Civil four professor thing evidence decision.,depression
I can't breathe Kid ground car wait we identify.,anxiety
I see things that others don't Action about person reality.,schizophrenia
I have trouble organizing my thoughts Leader improve like exist bad change any.,schizophrenia
I keep forgetting things Quickly or financial discuss good do mission song.,ADHD
I feel motivated to achieve my goals Between business character chair process choice half.,none
I feel motivated to achieve my goals Look little on.,none
I feel hopeless about the future Lead then possible.,depression
I can't sleep because of the nightmares Every television country institution scientist.,PTSD
I'm excited for the weekend Product view expert race.,none
I lose track of time easily Moment skill sound heavy.,ADHD
I can't focus on anything Year beautiful side later answer practice like.,ADHD
I cry all the time Claim lot away take then present.,depression
I can't relax no matter what I do Into ok ever sit treat door need him.,anxiety
Everything is going well Sell paper quite manager nice window.,none
I can't focus on anything Writer cell building weight remember them wide.,ADHD
I can't breathe Senior seven test.,anxiety
I can't sleep because of the nightmares Operation break special.,PTSD
I feel like I'm reliving the trauma Daughter can politics federal.,PTSD
